,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
OR-502,473,442,254,53.70%,214,259,0,52,143,315,15,65,15,214,183,121,56.54%,60,0,23,80,119,15,10,15,259,259,133,51.35%,29,63,196,0,55,0,0,0,0,.,0,0,0,0,0,0,86,86,86,100.00%,17,54,32,0,42,0,467,467,154,32.98%,197,286,181,0,313,0,96,0,0,0,.,0,0,0,0,0,0
OR-503,338,314,230,68.05%,242,96,0,25,76,238,24,0,29,242,218,198,81.82%,118,17,17,54,184,4,0,7,96,96,32,33.33%,8,22,54,20,0,22,0,0,0,.,0,0,0,0,0,0,109,109,109,100.00%,16,55,54,0,0,0,201,201,3,1.49%,19,40,161,0,187,3,181,0,0,0,.,0,0,0,0,0,0
OR-504,627,597,345,55.02%,314,313,0,41,136,481,10,36,25,314,284,175,55.73%,225,0,17,48,256,10,6,11,313,313,170,54.31%,24,88,225,0,30,14,0,0,0,.,0,0,0,0,0,0,227,226,144,63.44%,44,167,60,0,31,0,239,239,35,14.64%,29,172,67,0,204,68,2,59,59,59,100.00%,0,0,59,0,0,0
OR-505,1064,917,916,86.09%,548,516,0,256,386,642,36,14,89,548,449,448,81.75%,296,0,120,242,281,25,0,26,516,468,468,90.70%,136,144,361,11,14,63,0,0,0,.,0,0,0,0,0,0,957,907,871,91.01%,396,651,306,0,341,26,178,178,178,100.00%,41,105,73,0,0,0,55,93,93,22,23.66%,78,78,15,0,0,0
OR-506,261,229,229,87.74%,125,126,10,47,156,103,2,93,15,125,101,101,80.80%,96,14,31,117,6,2,0,5,126,118,118,93.65%,16,39,87,0,93,10,10,10,10,100.00%,0,0,10,0,0,0,231,213,213,92.21%,62,211,20,0,19,0,509,509,509,100.00%,43,166,343,0,257,0,149,0,0,0,.,0,0,0,0,0,0
OR-507,134,80,80,59.70%,99,35,0,37,104,30,0,15,22,99,45,45,45.45%,0,0,25,77,22,0,15,0,35,35,35,100.00%,12,27,8,0,0,22,0,0,0,.,0,0,0,0,0,0,164,143,143,87.20%,39,131,33,0,37,3,401,394,394,98.25%,58,180,221,0,197,0,180,0,0,0,.,0,0,0,0,0,0
PA-500,5222,4923,4389,84.05%,3878,1090,254,697,2193,3006,23,168,274,3878,3668,3235,83.42%,452,135,452,1474,2381,23,27,85,1090,1001,919,84.31%,245,719,371,0,110,165,254,254,235,92.52%,0,0,254,0,31,24,1236,1090,1090,88.19%,307,973,263,0,85,128,5131,5131,3942,76.83%,658,2191,2940,0,1290,50,1715,0,0,0,.,0,0,0,0,0,0
PA-501,347,323,229,65.99%,181,141,25,61,166,181,0,16,11,181,165,87,48.07%,81,2,28,79,102,0,0,0,141,133,117,82.98%,33,87,54,0,16,11,25,25,25,100.00%,0,0,25,0,0,0,129,120,117,90.70%,58,105,24,0,3,4,214,214,214,100.00%,28,65,149,0,96,0,36,28,28,28,100.00%,3,4,24,0,8,0
PA-502,407,372,352,86.49%,328,79,0,75,213,194,0,0,2,328,293,273,83.23%,0,0,51,167,161,0,0,2,79,79,79,100.00%,24,46,33,0,0,0,0,0,0,.,0,0,0,0,0,0,237,237,237,100.00%,58,187,50,0,26,0,415,415,415,100.00%,55,150,265,0,93,5,78,2,2,2,100.00%,0,0,2,0,0,0
PA-503,219,159,159,72.60%,101,118,0,29,103,116,0,14,8,101,77,77,76.24%,0,40,8,24,77,0,0,0,118,82,82,69.49%,21,79,39,0,14,8,0,0,0,.,0,0,0,0,0,0,114,114,114,100.00%,29,74,40,0,6,33,383,383,307,80.16%,82,259,124,0,107,0,57,0,0,0,.,0,0,0,0,0,0
PA-504,213,168,155,72.77%,161,52,0,45,136,77,0,0,0,161,143,130,80.75%,39,30,30,92,69,0,0,0,52,25,25,48.08%,15,44,8,0,0,0,0,0,0,.,0,0,0,0,0,0,261,261,261,100.00%,61,202,59,0,0,18,199,199,199,100.00%,28,85,114,0,0,0,106,0,0,0,.,0,0,0,0,0,0
PA-505,534,466,407,76.22%,229,305,0,52,165,369,0,227,0,229,214,161,70.31%,19,0,35,112,117,0,10,0,305,252,246,80.66%,17,53,252,0,217,0,0,0,0,.,0,0,0,0,0,0,147,147,147,100.00%,35,116,31,0,20,13,246,246,246,100.00%,25,82,164,0,0,8,26,60,56,41,68.33%,0,0,60,0,0,0
PA-506,405,339,339,83.70%,207,198,0,41,148,257,0,5,17,207,157,157,75.85%,126,68,22,92,115,0,0,16,198,182,182,91.92%,19,56,142,0,5,1,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,2,6,3,0,0,0,420,420,420,100.00%,70,273,147,0,15,0,15,0,0,0,.,0,0,0,0,0,0
PA-508,135,122,122,90.37%,51,73,11,19,54,81,0,30,8,51,48,48,94.12%,22,6,5,18,33,0,0,0,73,63,63,86.30%,14,36,37,0,23,8,11,11,11,100.00%,0,0,11,0,7,0,139,106,101,72.66%,35,131,8,0,5,16,232,232,164,70.69%,34,125,107,0,76,0,164,0,0,0,.,0,0,0,0,0,0
PA-509,1965,1551,1083,55.11%,1331,634,0,307,1100,836,29,60,61,1331,987,704,52.89%,284,46,190,731,573,27,8,27,634,564,379,59.78%,117,369,263,2,52,34,0,0,0,.,0,0,0,0,0,0,952,832,832,87.39%,206,714,238,0,40,29,1244,1244,799,64.23%,154,496,748,0,439,0,805,144,144,36,25.00%,18,56,88,0,4,0
PA-510,393,334,334,84.99%,276,117,0,57,227,166,0,22,0,276,238,238,86.23%,80,0,44,187,89,0,0,0,117,96,96,82.05%,13,40,77,0,22,0,0,0,0,.,0,0,0,0,0,0,180,180,180,100.00%,68,114,66,0,0,0,144,144,144,100.00%,14,47,97,0,4,8,24,0,0,0,.,0,0,0,0,0,0
PA-511,292,276,263,90.07%,115,177,0,72,250,38,4,0,4,115,99,91,79.13%,77,0,18,92,19,4,0,4,177,177,172,97.18%,54,158,19,0,0,0,0,0,0,.,0,0,0,0,0,0,171,171,171,100.00%,33,107,64,0,1,23,125,125,99,79.20%,10,31,94,0,26,0,43,0,0,0,.,0,0,0,0,0,0
PA-512,370,287,287,77.57%,267,103,0,55,194,176,0,0,17,267,229,229,85.77%,0,6,28,114,153,0,0,12,103,58,58,56.31%,27,80,23,0,0,5,0,0,0,.,0,0,0,0,0,0,193,141,177,91.71%,60,162,31,0,9,36,244,244,244,100.00%,16,63,181,0,53,0,172,5,5,5,100.00%,0,0,5,0,5,0
PA-600,690,595,595,86.23%,523,159,8,116,327,363,0,80,18,523,428,428,81.84%,139,5,106,300,223,0,19,18,159,159,159,100.00%,10,27,132,0,53,0,8,8,8,100.00%,0,0,8,0,8,0,854,698,650,76.11%,158,528,326,0,51,83,2315,2315,1938,83.71%,413,1344,971,0,485,5,1057,0,0,0,.,0,0,0,0,0,0
PA-601,1054,789,407,38.61%,772,282,0,143,479,575,0,113,0,772,533,202,26.17%,20,28,95,334,438,0,51,0,282,256,205,72.70%,48,145,137,0,62,0,0,0,0,.,0,0,0,0,0,0,715,645,645,90.21%,147,458,257,0,76,68,1320,1235,912,69.09%,224,676,644,0,319,0,952,68,68,55,80.88%,0,0,68,0,13,0
PA-603,137,105,105,76.64%,98,39,0,31,110,27,0,2,61,98,76,76,77.55%,0,0,23,87,11,0,1,53,39,29,29,74.36%,8,23,16,0,1,8,0,0,0,.,0,0,0,0,0,0,54,54,54,100.00%,9,35,19,0,8,25,152,152,152,100.00%,35,101,51,0,7,4,102,0,0,0,.,0,0,0,0,0,0
PA-605,406,324,324,79.80%,269,127,10,45,162,242,2,13,2,269,215,215,79.93%,75,0,26,106,163,0,3,0,127,99,99,77.95%,19,56,69,2,0,2,10,10,10,100.00%,0,0,10,0,10,0,139,139,139,100.00%,20,66,73,0,4,0,441,441,327,74.15%,80,288,153,0,114,0,166,90,90,90,100.00%,0,0,90,0,0,0
PR-502,472,320,320,67.80%,133,327,12,46,138,334,0,6,9,133,81,81,60.90%,0,0,14,41,92,0,0,0,327,227,227,69.42%,32,97,230,0,6,9,12,12,12,100.00%,0,0,12,0,0,0,173,144,144,83.24%,26,78,95,0,3,15,1195,1169,1169,97.82%,93,261,934,0,182,9,747,255,255,255,100.00%,0,0,255,0,0,0
PR-503,259,213,213,82.24%,192,57,10,9,47,212,0,26,0,192,161,161,83.85%,0,0,8,32,160,0,7,0,57,42,42,73.68%,1,15,42,0,19,0,10,10,10,100.00%,0,0,10,0,0,0,153,95,95,62.09%,26,78,75,0,7,0,608,520,472,77.63%,54,156,452,0,48,1,403,0,0,0,.,0,0,0,0,0,0
RI-500,993,826,730,73.51%,726,267,0,158,411,582,0,62,0,726,648,552,76.03%,82,40,89,240,486,0,0,0,267,178,178,66.67%,69,171,96,0,62,0,0,0,0,.,0,0,0,0,0,0,394,332,332,84.26%,75,255,139,0,63,11,1237,1213,929,75.10%,160,538,699,0,294,5,540,633,631,631,99.68%,70,196,437,0,0,0
SC-500,340,280,235,69.12%,239,96,5,19,67,273,0,101,0,239,179,134,56.07%,135,0,18,65,174,0,0,0,96,96,96,100.00%,1,2,94,0,96,0,5,5,5,100.00%,0,0,5,0,5,0,168,168,168,100.00%,22,63,105,0,67,19,436,436,86,19.72%,16,48,388,0,350,0,86,0,0,0,.,0,0,0,0,0,0
SC-501,1125,934,353,31.38%,904,209,12,114,552,572,1,33,24,904,754,276,30.53%,241,0,79,450,454,0,4,0,209,168,65,31.10%,35,102,106,1,29,24,12,12,12,100.00%,0,0,12,0,0,0,34,34,34,100.00%,8,24,10,0,5,0,339,339,303,89.38%,16,37,302,0,145,0,339,0,0,0,.,0,0,0,0,0,0
SC-502,1057,930,757,71.62%,653,404,0,50,302,743,12,114,75,653,541,472,72.28%,279,0,20,174,471,8,10,24,404,389,285,70.54%,30,128,272,4,104,51,0,0,0,.,0,0,0,0,0,0,144,144,144,100.00%,25,92,52,0,71,1,884,818,818,92.53%,105,310,574,0,514,6,184,102,102,102,100.00%,19,57,21,24,0,32
SC-503,545,467,419,76.88%,271,274,0,43,192,345,8,26,8,271,217,159,58.67%,0,1,29,119,144,8,6,8,274,250,260,94.89%,14,73,201,0,20,0,0,0,0,.,0,0,0,0,0,0,126,119,122,96.83%,18,54,72,0,57,12,451,451,411,91.13%,61,225,226,0,308,0,420,349,349,73,20.92%,47,125,224,0,0,0
SD-500,1215,750,181,14.90%,1123,92,0,206,595,620,0,35,26,1123,665,171,15.23%,14,19,196,579,544,0,23,4,92,85,10,10.87%,10,16,76,0,12,22,0,0,0,.,0,0,0,0,0,0,321,278,119,37.07%,76,259,62,0,58,0,621,621,183,29.47%,73,233,388,0,438,0,552,25,25,25,100.00%,0,0,25,0,25,0
TN-500,240,201,193,80.42%,224,16,0,38,109,131,0,8,0,224,185,185,82.59%,100,60,36,101,123,0,0,0,16,16,8,50.00%,2,8,8,0,8,0,0,0,0,.,0,0,0,0,0,0,163,26,26,15.95%,34,126,37,0,26,0,466,466,410,87.98%,126,302,164,0,56,1,43,0,0,0,.,0,0,0,0,0,0
TN-501,1066,1066,1066,100.00%,523,543,0,179,408,658,0,138,0,523,523,523,100.00%,0,84,90,103,420,0,0,0,543,543,543,100.00%,89,305,238,0,138,0,0,0,0,.,0,0,0,0,0,0,465,465,465,100.00%,203,352,101,12,91,17,1316,1316,1316,100.00%,192,922,394,0,79,0,800,194,194,194,100.00%,52,183,11,0,0,0
TN-502,695,646,583,83.88%,443,252,0,25,72,623,0,40,36,443,411,371,83.75%,0,0,20,60,383,0,0,4,252,235,212,84.13%,5,12,240,0,40,32,0,0,0,.,0,0,0,0,0,0,343,343,343,100.00%,85,309,34,0,22,0,388,388,322,82.99%,13,36,352,0,150,0,102,18,18,0,0.00%,0,0,18,0,0,18
TN-503,459,340,298,64.92%,215,244,0,39,180,279,0,48,0,215,109,82,38.14%,24,7,31,152,63,0,0,0,244,231,216,88.52%,8,28,216,0,48,0,0,0,0,.,0,0,0,0,0,0,17,17,17,100.00%,4,11,6,0,0,0,55,55,55,100.00%,0,0,55,0,3,0,15,0,0,0,.,0,0,0,0,0,0
TN-504,1499,1385,252,16.81%,1168,326,5,54,258,1229,12,108,32,1168,1077,79,6.76%,228,0,35,197,959,12,9,12,326,303,168,51.53%,19,61,265,0,94,20,5,5,5,100.00%,0,0,5,0,5,0,243,238,238,97.94%,53,220,23,0,11,6,1033,1033,1033,100.00%,104,244,789,0,532,0,53,119,119,119,100.00%,0,0,119,0,0,0
TN-506,299,218,134,44.82%,256,43,0,18,92,207,0,0,0,256,196,134,52.34%,30,4,13,76,180,0,0,0,43,22,0,0.00%,5,16,27,0,0,0,0,0,0,.,0,0,0,0,0,0,21,21,21,100.00%,9,9,12,0,6,0,168,168,104,61.90%,35,91,77,0,64,0,0,0,0,0,.,0,0,0,0,0,0
TN-507,38,21,17,44.74%,21,17,0,9,23,15,0,2,0,21,4,0,0.00%,25,0,4,10,11,0,2,0,17,17,17,100.00%,5,13,4,0,0,0,0,0,0,.,0,0,0,0,0,0,150,116,115,76.67%,32,115,35,0,19,4,273,273,248,90.84%,53,153,120,0,31,1,34,0,0,0,.,0,0,0,0,0,0
TN-509,433,361,188,43.42%,334,99,0,34,192,238,3,18,3,334,262,154,46.11%,36,2,25,154,177,3,0,3,99,99,34,34.34%,9,38,61,0,18,0,0,0,0,.,0,0,0,0,0,0,113,106,91,80.53%,18,60,53,0,38,0,470,470,283,60.21%,29,77,393,0,187,0,224,0,0,0,.,0,0,0,0,0,0
TN-510,139,116,76,54.68%,77,62,0,9,37,102,0,0,0,77,68,56,72.73%,60,0,6,30,47,0,0,0,62,48,20,32.26%,3,7,55,0,0,0,0,0,0,.,0,0,0,0,0,0,5,5,5,100.00%,1,4,1,0,0,0,243,243,113,46.50%,31,99,144,0,130,3,4,0,0,0,.,0,0,0,0,0,0
TN-512,192,114,30,15.63%,162,30,0,40,113,79,0,0,0,162,98,30,18.52%,16,7,34,100,62,0,0,0,30,16,0,0.00%,6,13,17,0,0,0,0,0,0,.,0,0,0,0,0,0,144,144,144,100.00%,18,63,81,0,12,0,31,31,31,100.00%,6,15,16,0,15,0,27,0,0,0,.,0,0,0,0,0,0
TX-500,1814,1625,1607,88.59%,1465,349,0,215,761,1037,16,114,32,1465,1320,1320,90.10%,0,38,144,547,902,16,36,16,349,305,287,82.23%,71,214,135,0,78,16,0,0,0,.,0,0,0,0,0,0,753,700,696,92.43%,56,135,618,0,311,20,2001,2001,2001,100.00%,328,1020,981,0,1150,0,686,1182,1182,1182,100.00%,295,999,183,0,0,0
TX-503,1029,792,792,76.97%,757,211,61,135,425,604,0,93,61,757,651,651,86.00%,0,0,78,276,481,0,0,13,211,80,80,37.91%,57,149,62,0,32,48,61,61,61,100.00%,0,0,61,0,61,0,905,726,715,79.01%,168,569,336,0,106,164,1161,1145,1095,94.32%,58,212,949,0,649,0,1098,190,190,190,100.00%,40,120,70,0,0,20
TX-600,3131,2549,1482,47.33%,1958,1127,46,315,1177,1903,51,185,132,1958,1658,1216,62.10%,40,35,153,577,1334,47,78,47,1127,845,220,19.52%,162,600,523,4,86,85,46,46,46,100.00%,0,0,46,0,21,0,519,381,370,71.29%,119,388,131,0,45,50,2165,2165,2165,100.00%,211,514,1651,0,892,35,1122,730,730,730,100.00%,230,672,58,0,0,0
TX-601,1778,1533,1072,60.29%,1543,215,20,204,756,1002,20,92,46,1543,1369,914,59.24%,26,108,167,629,894,20,32,20,215,144,138,64.19%,37,127,88,0,60,26,20,20,20,100.00%,0,0,20,0,0,0,816,581,563,69.00%,190,656,160,0,53,7,1847,1825,1815,98.27%,163,500,1347,0,646,0,1703,161,161,15,9.32%,29,59,102,0,0,0
TX-603,1158,978,638,55.09%,917,241,0,113,507,638,13,36,34,917,752,508,55.40%,0,41,67,360,544,13,16,28,241,226,130,53.94%,46,147,94,0,20,6,0,0,0,.,0,0,0,0,0,0,189,174,174,92.06%,34,93,96,0,52,21,163,163,163,100.00%,27,65,98,0,15,9,101,86,86,22,25.58%,0,0,86,0,0,0
TX-604,250,167,99,39.60%,142,108,0,44,148,96,6,5,14,142,94,94,66.20%,0,2,16,48,88,6,0,6,108,73,5,4.63%,28,100,8,0,5,8,0,0,0,.,0,0,0,0,0,0,130,107,107,82.31%,26,78,52,0,34,0,138,134,134,97.10%,11,34,104,0,74,0,81,0,0,0,.,0,0,0,0,0,0
TX-607,5175,3278,1964,37.95%,4328,847,0,713,2389,2737,49,31,115,4328,2647,1677,38.75%,0,46,543,1784,2495,49,15,104,847,631,287,33.88%,170,605,242,0,16,11,0,0,0,.,0,0,0,0,0,0,1137,781,623,54.79%,267,767,370,0,330,3,1006,1006,258,25.65%,132,195,811,0,680,0,327,0,0,0,.,0,0,0,0,0,0
TX-611,542,518,518,95.57%,351,191,0,25,211,318,13,289,166,351,327,327,93.16%,0,15,21,111,227,13,229,79,191,191,191,100.00%,4,100,91,0,60,87,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,9,9,0,0,9,0,209,209,209,100.00%,60,89,120,0,118,8,166,0,0,0,.,0,0,0,0,0,0
TX-624,387,313,273,70.54%,367,20,0,12,118,235,34,0,34,367,293,267,72.75%,0,0,12,118,215,34,0,34,20,20,6,30.00%,0,0,20,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,0,0,29,0,0,0,0,0,0,0,.,0,0,0,0,0,0
TX-700,2717,2393,2393,88.08%,1884,801,32,287,1029,1684,4,127,102,1884,1560,1560,82.80%,0,100,244,881,999,4,32,74,801,801,801,100.00%,43,148,653,0,63,28,32,32,32,100.00%,0,0,32,0,32,0,1122,867,867,77.27%,258,769,353,0,78,0,6078,5845,5845,96.17%,705,2218,3860,0,1409,40,3131,25,25,25,100.00%,0,0,25,0,25,0
TX-701,160,128,104,65.00%,160,0,0,18,54,106,0,0,0,160,128,104,65.00%,12,0,18,54,106,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,65,65,65,100.00%,14,54,11,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
UT-500,1712,1358,1245,72.72%,1349,363,0,107,709,998,5,80,71,1349,1163,1059,78.50%,58,160,47,483,862,4,0,34,363,195,186,51.24%,60,226,136,1,80,37,0,0,0,.,0,0,0,0,0,0,509,509,482,94.70%,73,282,227,0,50,19,2549,2549,2523,98.98%,333,1155,1394,0,622,20,1501,145,145,67,46.21%,12,53,92,0,5,0
UT-503,1028,618,517,50.29%,882,146,0,124,480,516,32,25,32,882,593,492,55.78%,0,30,92,366,484,32,0,32,146,25,25,17.12%,32,114,32,0,25,0,0,0,0,.,0,0,0,0,0,0,458,387,398,86.90%,95,332,126,0,37,11,415,394,289,69.64%,59,135,280,0,119,0,111,0,0,0,.,0,0,0,0,0,0
UT-504,125,54,54,43.20%,84,41,0,17,50,63,12,0,12,84,33,33,39.29%,0,0,9,30,42,12,0,12,41,21,21,51.22%,8,20,21,0,0,0,0,0,0,.,0,0,0,0,0,0,32,24,24,75.00%,10,26,6,0,0,0,155,131,122,78.71%,16,48,107,0,3,0,75,29,29,29,100.00%,1,3,26,0,0,0
VA-500,405,337,317,78.27%,310,60,35,42,138,267,0,70,0,310,256,244,78.71%,0,60,38,124,186,0,2,0,60,46,38,63.33%,4,14,46,0,36,0,35,35,35,100.00%,0,0,35,0,32,0,287,241,241,83.97%,66,213,74,0,26,2,937,937,357,38.10%,163,384,553,0,412,0,253,152,152,152,100.00%,9,26,126,0,22,0
VA-501,562,437,437,77.76%,450,112,0,59,209,353,0,6,0,450,359,359,79.78%,206,19,44,155,295,0,6,0,112,78,78,69.64%,15,54,58,0,0,0,0,0,0,.,0,0,0,0,0,0,360,346,346,96.11%,96,286,74,0,44,3,612,612,382,62.42%,61,208,404,0,230,0,314,159,159,159,100.00%,0,0,159,0,0,0
VA-502,438,362,362,82.65%,438,0,0,26,161,277,0,15,0,438,362,362,82.65%,0,2,26,161,277,0,15,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,42,42,42,100.00%,5,22,20,0,22,0,198,198,198,100.00%,17,70,128,0,137,2,60,0,0,0,.,0,0,0,0,0,0
VA-503,183,128,88,48.09%,127,56,0,24,85,77,21,16,21,127,72,72,56.69%,60,0,14,45,61,21,0,21,56,56,16,28.57%,10,40,16,0,16,0,0,0,0,.,0,0,0,0,0,0,302,73,45,14.90%,74,259,43,0,22,0,348,348,348,100.00%,39,145,203,0,205,5,59,191,191,191,100.00%,12,48,143,0,0,0
VA-504,107,80,80,74.77%,92,15,0,18,43,64,0,0,0,92,67,67,72.83%,72,0,13,28,64,0,0,0,15,13,13,86.67%,5,15,0,0,0,0,0,0,0,.,0,0,0,0,0,0,30,30,30,100.00%,2,4,26,0,5,0,128,128,103,80.47%,2,6,122,0,25,0,100,25,25,0,0.00%,0,0,25,0,0,0
VA-505,264,169,129,48.86%,194,70,0,53,174,90,0,12,0,194,135,95,48.97%,250,0,35,115,79,0,12,0,70,34,34,48.57%,18,59,11,0,0,0,0,0,0,.,0,0,0,0,0,0,150,117,117,78.00%,27,95,55,0,17,0,714,714,261,36.55%,39,115,599,0,453,0,83,88,88,88,100.00%,0,0,88,0,0,0
VA-507,77,47,22,28.57%,55,22,0,21,56,21,0,2,0,55,25,0,0.00%,40,0,18,47,8,0,0,0,22,22,22,100.00%,3,9,13,0,2,0,0,0,0,.,0,0,0,0,0,0,59,59,8,13.56%,15,56,3,0,8,0,188,188,162,86.17%,12,36,152,0,28,0,146,0,0,0,.,0,0,0,0,0,0
VA-508,144,98,98,68.06%,144,0,0,21,77,67,0,0,0,144,98,98,68.06%,0,0,21,77,67,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,75,75,75,100.00%,18,60,15,0,3,0,67,67,64,95.52%,7,24,43,0,3,0,11,0,0,0,.,0,0,0,0,0,0
VA-513,297,211,151,50.84%,297,0,0,40,140,157,0,0,0,297,211,151,50.84%,92,21,40,140,157,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,74,30,30,40.54%,15,50,24,0,1,0,73,73,73,100.00%,5,17,56,0,15,0,32,0,0,0,.,0,0,0,0,0,0
VA-514,167,133,133,79.64%,167,0,0,32,102,65,0,0,0,167,133,133,79.64%,37,13,32,102,65,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,120,52,52,43.33%,25,83,37,0,3,0,137,137,56,40.88%,25,59,78,0,81,0,56,0,0,0,.,0,0,0,0,0,0
VA-521,838,545,239,28.52%,675,163,0,150,537,301,0,0,0,675,402,239,35.41%,162,13,103,400,275,0,0,0,163,143,0,0.00%,47,137,26,0,0,0,0,0,0,.,0,0,0,0,0,0,345,330,330,95.65%,88,275,70,0,16,13,236,236,110,46.61%,94,110,126,0,46,0,66,18,18,18,100.00%,0,0,18,0,0,0
VA-600,190,180,180,94.74%,175,15,0,27,81,109,0,0,0,175,165,165,94.29%,25,4,23,73,102,0,0,0,15,15,15,100.00%,4,8,7,0,0,0,0,0,0,.,0,0,0,0,0,0,166,166,166,100.00%,34,112,54,0,0,0,278,278,278,100.00%,19,57,221,0,0,0,153,14,14,14,100.00%,4,13,1,0,0,0
VA-601,754,561,561,74.40%,507,247,0,161,555,191,8,0,65,507,409,409,80.67%,273,49,92,335,164,8,0,8,247,152,152,61.54%,69,220,27,0,0,57,0,0,0,.,0,0,0,0,0,0,366,366,365,99.73%,84,296,70,0,12,24,627,627,570,90.91%,41,153,474,0,57,0,327,482,482,482,100.00%,115,431,51,0,0,0
VA-602,94,82,56,59.57%,56,38,0,33,61,33,0,1,0,56,44,44,78.57%,26,11,14,23,33,0,1,0,38,38,12,31.58%,19,38,0,0,0,0,0,0,0,.,0,0,0,0,0,0,35,35,35,100.00%,7,13,22,0,0,0,24,24,24,100.00%,4,11,13,0,0,0,24,0,0,0,.,0,0,0,0,0,0
VA-603,203,182,118,58.13%,145,46,12,30,100,103,0,0,0,145,124,60,41.38%,50,0,20,68,77,0,0,0,46,46,46,100.00%,10,32,14,0,0,0,12,12,12,100.00%,0,0,12,0,0,0,120,120,120,100.00%,25,25,95,0,0,0,47,47,47,100.00%,3,8,39,0,0,0,22,3,3,3,100.00%,0,0,3,0,3,0
VA-604,250,229,226,90.40%,209,41,0,43,167,83,0,0,0,209,188,188,89.95%,40,0,32,132,77,0,0,0,41,41,38,92.68%,11,35,6,0,0,0,0,0,0,.,0,0,0,0,0,0,133,133,81,60.90%,29,94,39,0,36,0,46,46,35,76.09%,4,10,36,0,11,0,46,9,9,9,100.00%,0,0,9,0,0,0
VI-500,92,65,57,61.96%,34,58,0,17,19,73,0,0,0,34,22,22,64.71%,0,0,2,4,30,0,0,0,58,43,35,60.34%,15,15,43,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,0,0,24,0,22,0,45,45,45,100.00%,0,0,45,0,2,0,0,0,0,0,.,0,0,0,0,0,0
VT-500,631,493,418,66.24%,470,161,0,65,229,384,18,59,65,470,363,327,69.57%,157,285,55,199,256,15,4,20,161,130,91,56.52%,10,30,128,3,55,45,0,0,0,.,0,0,0,0,0,0,479,475,364,75.99%,128,377,102,0,44,0,432,432,239,55.32%,31,96,336,0,193,0,407,0,0,0,.,0,0,0,0,0,0
VT-501,192,156,146,76.04%,151,41,0,22,70,122,0,2,16,151,135,135,89.40%,47,68,17,59,92,0,0,8,41,21,11,26.83%,5,11,30,0,2,8,0,0,0,.,0,0,0,0,0,0,97,67,53,54.64%,21,66,31,0,6,0,118,118,74,62.71%,4,11,107,0,44,0,95,104,104,26,25.00%,2,8,96,0,0,0
WA-500,7072,6456,5270,74.52%,4857,2131,84,866,3218,3780,74,221,518,4857,4617,3851,79.29%,171,32,436,1696,3119,42,75,198,2131,1755,1335,62.65%,430,1522,577,32,107,320,84,84,84,100.00%,0,0,84,0,39,0,964,858,811,84.13%,172,605,359,0,200,98,6249,6249,5131,82.11%,425,1280,4969,0,1540,61,2683,1731,1709,1608,92.89%,335,1328,403,0,21,139
WA-501,4887,4142,2607,53.35%,3179,1708,0,753,2606,2221,60,192,217,3179,2566,1586,49.89%,556,44,415,1509,1610,60,15,107,1708,1576,1021,59.78%,338,1097,611,0,177,110,0,0,0,.,0,0,0,0,0,0,2530,2401,2125,83.99%,571,1492,1021,17,67,118,1613,1575,1398,86.67%,206,488,1125,0,354,17,625,1090,961,649,59.54%,273,796,294,0,151,10
WA-502,1016,990,607,59.74%,731,285,0,87,372,602,42,36,83,731,705,370,50.62%,180,111,33,187,511,33,10,33,285,285,237,83.16%,54,185,91,9,26,50,0,0,0,.,0,0,0,0,0,0,695,666,597,85.90%,84,285,410,0,203,13,839,839,835,99.52%,68,205,634,0,439,0,408,695,695,643,92.52%,159,590,105,0,0,0
WA-503,1024,950,904,88.28%,834,190,0,153,437,575,12,50,52,834,760,719,86.21%,0,93,94,304,518,12,10,52,190,190,185,97.37%,59,133,57,0,40,0,0,0,0,.,0,0,0,0,0,0,778,609,609,78.28%,155,530,248,0,103,3,1020,1020,559,54.80%,53,173,847,0,471,14,559,421,421,421,100.00%,111,349,72,0,0,0
WA-504,501,466,457,91.22%,452,49,0,64,220,242,39,2,43,452,417,417,92.26%,70,1,64,220,216,16,2,16,49,49,40,81.63%,0,0,26,23,0,27,0,0,0,.,0,0,0,0,0,0,446,410,408,91.48%,60,198,248,0,5,10,1939,1939,1791,92.37%,356,1198,741,0,519,0,1214,647,591,530,81.92%,160,547,100,0,0,78
